article,word,n,total,tf,idf,tf_idf
Article 9,to,30,1656,0.018115942028985508,0,0
Article 10,of,29,731,0.03967168262653899,0,0
Article 11,a,29,1460,0.01986301369863014,0,0
Article 11,and,29,1460,0.01986301369863014,0,0
Article 4,in,29,1582,0.018331226295828066,0,0
Article 3,that,28,1808,0.015486725663716814,0,0
Article 9,on,28,1656,0.016908212560386472,0,0
Article 11,change,27,1460,0.018493150684931507,0,0
Article 4,a,27,1582,0.01706700379266751,0,0
Article 4,that,27,1582,0.01706700379266751,0,0
Article 10,to,26,731,0.03556771545827633,0,0
Article 9,dr,26,1656,0.01570048309178744,1.0986122886681098,0.01724874366266356
Article 2,mr,25,1589,0.015733165512901194,0.5389965007326869,0.008480121156901933
Article 8,and,25,800,0.03125,0,0
Article 5,it,24,3386,0.0070880094506792675,0,0
Article 9,for,24,1656,0.014492753623188406,0,0
Article 12,climate,23,2243,0.010254123941150245,0,0
Article 2,for,23,1589,0.0144745122718691,0,0
Article 3,mr,23,1808,0.012721238938053098,0.5389965007326869,0.006856703272595022
Article 3,said,23,1808,0.012721238938053098,0.28768207245178085,0.003659672381853407
Article 4,climate,23,1582,0.014538558786346398,0,0
Article 4,for,23,1582,0.014538558786346398,0,0
Article 5,is,23,3386,0.006792675723567632,0,0
Article 5,she,23,3386,0.006792675723567632,0.5389965007326869,0.0036612284456148257
Article 11,that,22,1460,0.015068493150684932,0,0
Article 2,change,22,1589,0.013845185651353053,0,0
Article 5,her,22,3386,0.006497341996455995,1.0986122886681098,0.0071380597609859466
Article 9,prize,22,1656,0.013285024154589372,2.4849066497880004,0.03301204486433334
Article 12,be,21,2243,0.009362460989745877,0.0870113769896297,8.146406227294801e-4
Article 12,would,21,2243,0.009362460989745877,0.1823215567939546,0.0017069784630731372
Article 5,have,21,3386,0.0062020082693443595,0,0
Article 5,on,21,3386,0.0062020082693443595,0,0
Article 6,of,21,1056,0.019886363636363636,0,0
Article 9,he,21,1656,0.012681159420289856,0.1823215567939546,0.0023120487274595693
Article 10,and,20,731,0.027359781121751026,0,0
Article 3,west,20,1808,0.011061946902654867,1.791759469228055,0.019820348110929812
Article 5,but,20,3386,0.005906674542232723,0.0870113769896297,5.139478853492599e-4
Article 5,their,20,3386,0.005906674542232723,0.1823215567939546,0.001076914098015089
Article 5,with,20,3386,0.005906674542232723,0,0
Article 9,is,20,1656,0.012077294685990338,0,0
Article 1,and,19,725,0.02620689655172414,0,0
Article 12,are,19,2243,0.008470798038341507,0.0870113769896297,7.370558015171486e-4
Article 12,more,19,2243,0.008470798038341507,0,0
Article 12,on,19,2243,0.008470798038341507,0,0
Article 4,said,19,1582,0.012010113780025285,0.28768207245178085,0.0034550944226193654
Article 5,they,19,3386,0.005611340815121087,0,0
Article 6,and,19,1056,0.017992424242424244,0,0
Article 7,in,19,1277,0.014878621769772905,0,0
Article 9,work,19,1656,0.011473429951690822,0.4054651081081644,0.00465207551573377
Article 1,in,18,725,0.02482758620689655,0,0
Article 1,of,18,725,0.02482758620689655,0,0
Article 12,said,18,2243,0.008024966562639322,0.28768207245178085,0.0023086390120963243
Article 2,is,18,1589,0.011327879169288861,0,0
Article 3,is,18,1808,0.00995575221238938,0,0
Article 4,nations,18,1582,0.011378002528445006,0.4054651081081644,0.004613383025250922
Article 5,told,18,3386,0.005316007088009451,1.791759469228055,0.009525006038424391
Article 6,in,18,1056,0.017045454545454544,0,0
Article 7,is,18,1277,0.014095536413469069,0,0
Article 8,city,18,800,0.0225,1.3862943611198906,0.031191623125197538
Article 12,by,17,2243,0.007579135086937138,0,0
Article 12,it,17,2243,0.007579135086937138,0,0
Article 4,report,17,1582,0.010745891276864728,0.6931471805599453,0.007448484241162496
Article 5,as,17,3386,0.005020673360897815,0,0
Article 5,by,17,3386,0.005020673360897815,0,0
Article 5,had,17,3386,0.005020673360897815,0.1823215567939546,9.153769833128259e-4
Article 5,i,17,3386,0.005020673360897815,0.28768207245178085,0.0014443577175665312
Article 11,is,16,1460,0.010958904109589041,0,0
Article 12,dr,16,2243,0.007133303611234953,1.0986122886681098,0.007836735006103324
Article 3,it,16,1808,0.008849557522123894,0,0
Article 3,state,16,1808,0.008849557522123894,0.6931471805599453,0.0061340458456632324
Article 5,damage,16,3386,0.004725339633786178,0.8754687373538999,0.0041368871227591255
Article 6,that,16,1056,0.015151515151515152,0,0
Article 12,greenhouse,15,2243,0.006687472135532769,0.6931471805599453,0.004635402455817735
Article 12,have,15,2243,0.006687472135532769,0,0
Article 12,not,15,2243,0.006687472135532769,0,0
Article 12,warming,15,2243,0.006687472135532769,0.0870113769896297,5.818861590924857e-4
Article 3,flood,15,1808,0.008296460176991151,1.3862943611198906,0.011501335960618562
Article 3,virginia,15,1808,0.008296460176991151,2.4849066497880004,0.020615929063506643
Article 5,at,15,3386,0.004430005906674543,0,0
Article 5,countries,15,3386,0.004430005906674543,0.5389965007326869,0.002387757681922712
Article 5,were,15,3386,0.004430005906674543,0.1823215567939546,8.076855735113169e-4
Article 6,a,15,1056,0.014204545454545454,0,0
Article 6,energy,15,1056,0.014204545454545454,1.0986122886681098,0.015605288191308377
Article 7,are,15,1277,0.011746280344557557,0.0870113769896297,0.001022060027286175
Article 7,on,15,1277,0.011746280344557557,0,0
Article 7,that,15,1277,0.011746280344557557,0,0
Article 8,a,15,800,0.01875,0,0
Article 9,was,15,1656,0.009057971014492754,0.28768207245178085,0.0026058158736574355
Article 1,said,14,725,0.019310344827586208,0.28768207245178085,0.005555240019758527
Article 12,has,14,2243,0.006241640659830584,0.0870113769896297,5.4309374848632e-4
Article 2,as,14,1589,0.00881057268722467,0,0
Article 2,on,14,1589,0.00881057268722467,0,0
Article 2,said,14,1589,0.00881057268722467,0.28768207245178085,0.002534643810147849
Article 4,countries,14,1582,0.008849557522123894,0.5389965007326869,0.0047698805374574065
Article 5,are,14,3386,0.004134672179562906,0.0870113769896297,3.597635197444819e-4
Article 5,from,14,3386,0.004134672179562906,0,0
Article 5,more,14,3386,0.004134672179562906,0,0
Article 10,in,13,731,0.017783857729138167,0,0
Article 12,for,13,2243,0.0057958091841284,0,0
Article 12,scientists,13,2243,0.0057958091841284,0.8754687373538999,0.0050740497483730265
Article 2,that,13,1589,0.008181246066708621,0,0
Article 3,his,13,1808,0.007190265486725664,0.4054651081081644,0.0029154017729016244
Article 4,as,13,1582,0.008217446270543615,0,0
Article 4,by,13,1582,0.008217446270543615,0,0
Article 4,it,13,1582,0.008217446270543615,0,0
Article 5,change,13,3386,0.00383933845245127,0,0
Article 5,me,13,3386,0.00383933845245127,1.3862943611198906,0.005322453247063963
Article 9,nobel,13,1656,0.00785024154589372,2.4849066497880004,0.019507117419833336
Article 1,a,12,725,0.016551724137931035,0,0
Article 11,be,12,1460,0.00821917808219178,0.0870113769896297,7.151620026544906e-4
Article 12,as,12,2243,0.005349977708426215,0,0
Article 2,be,12,1589,0.007551919446192574,0.0870113769896297,6.571029099279776e-4
Article 2,biden's,12,1589,0.007551919446192574,2.4849066497880004,0.01876581485050724
Article 3,climate,12,1808,0.00663716814159292,0,0
Article 3,for,12,1808,0.00663716814159292,0,0
Article 3,from,12,1808,0.00663716814159292,0,0
Article 3,he,12,1808,0.00663716814159292,0.1823215567939546,0.0012100988282784597
Article 5,some,12,3386,0.0035440047253396337,0.28768207245178085,0.0010195466241646103
Article 5,we,12,3386,0.0035440047253396337,0.1823215567939546,6.461484588090535e-4
Article 6,global,12,1056,0.011363636363636364,0.0870113769896297,9.887656476094285e-4
Article 10,a,11,731,0.015047879616963064,0,0
Article 11,for,11,1460,0.007534246575342466,0,0
Article 11,has,11,1460,0.007534246575342466,0.0870113769896297,6.555651690999499e-4
Article 11,on,11,1460,0.007534246575342466,0,0
Article 11,with,11,1460,0.007534246575342466,0,0
Article 12,but,11,2243,0.00490414623272403,0.0870113769896297,4.2671651666782284e-4
Article 12,from,11,2243,0.00490414623272403,0,0
Article 12,if,11,2243,0.00490414623272403,0.28768207245178085,0.0014108349518366424
Article 12,with,11,2243,0.00490414623272403,0,0
Article 2,administration,11,1589,0.006922592825676526,0.8754687373538999,0.006060513600310194
Article 2,biden,11,1589,0.006922592825676526,1.3862943611198906,0.009596751398564378
Article 2,transition,11,1589,0.006922592825676526,1.0986122886681098,0.007605245547733926
Article 2,who,11,1589,0.006922592825676526,0.1823215567939546,0.0012621379010280054
Article 2,with,11,1589,0.006922592825676526,0,0
Article 3,at,11,1808,0.006084070796460177,0,0
Article 4,are,11,1582,0.00695322376738306,0.0870113769896297,6.050095745170206e-4
Article 4,emissions,11,1582,0.00695322376738306,0.0870113769896297,6.050095745170206e-4
Article 5,bahamas,11,3386,0.0032486709982279976,2.4849066497880004,0.008072644166470173
Article 5,he,11,3386,0.0032486709982279976,0.1823215567939546,5.92302753908299e-4
Article 5,hurricanes,11,3386,0.0032486709982279976,1.791759469228055,0.005820837023481572
Article 5,loss,11,3386,0.0032486709982279976,2.4849066497880004,0.008072644166470173
Article 5,so,11,3386,0.0032486709982279976,0.4054651081081644,0.0013172227375043734
Article 5,when,11,3386,0.0032486709982279976,0.5389965007326869,0.0017510223000766557
Article 6,have,11,1056,0.010416666666666666,0,0
Article 6,world,11,1056,0.010416666666666666,0.1823215567939546,0.0018991828832703602
Article 7,for,11,1277,0.008613938919342208,0,0
Article 8,climate,11,800,0.01375,0,0
Article 9,said,11,1656,0.006642512077294686,0.28768207245178085,0.0019109316406821192
Article 10,for,10,731,0.013679890560875513,0,0
Article 10,from,10,731,0.013679890560875513,0,0
Article 10,will,10,731,0.013679890560875513,0.0870113769896297,0.0011903061147692162
Article 11,about,10,1460,0.00684931506849315,0.1823215567939546,0.001248777786259963
Article 11,it,10,1460,0.00684931506849315,0,0
Article 11,may,10,1460,0.00684931506849315,0.4054651081081644,0.0027771582747134547
Article 11,more,10,1460,0.00684931506849315,0,0
Article 12,about,10,2243,0.004458314757021846,0.1823215567939546,8.128468871776844e-4
Article 12,climatic,10,2243,0.004458314757021846,1.791759469228055,0.007988227682693068
Article 12,gases,10,2243,0.004458314757021846,0.6931471805599453,0.00309026830387849
Article 12,global,10,2243,0.004458314757021846,0.0870113769896297,3.8792410606165717e-4
Article 12,he,10,2243,0.004458314757021846,0.1823215567939546,8.128468871776844e-4
Article 12,we,10,2243,0.004458314757021846,0.1823215567939546,8.128468871776844e-4
Article 12,years,10,2243,0.004458314757021846,0.1823215567939546,8.128468871776844e-4
Article 2,has,10,1589,0.0062932662051604785,0.0870113769896297,5.475857582733146e-4
Article 3,coal,10,1808,0.0055309734513274336,0.6931471805599453,0.00383377865353952
Article 3,risk,10,1808,0.0055309734513274336,1.0986122886681098,0.006076395401925386
Article 4,global,10,1582,0.006321112515802781,0.0870113769896297,5.500087041063824e-4
Article 4,have,10,1582,0.006321112515802781,0,0
Article 4,is,10,1582,0.006321112515802781,0,0
Article 4,united,10,1582,0.006321112515802781,0.1823215567939546,0.0011524750745509139
Article 5,be,10,3386,0.0029533372711163615,0.0870113769896297,2.5697394267462995e-4
Article 5,been,10,3386,0.0029533372711163615,0.0870113769896297,2.5697394267462995e-4
Article 5,has,10,3386,0.0029533372711163615,0.0870113769896297,2.5697394267462995e-4
Article 5,my,10,3386,0.0029533372711163615,1.3862943611198906,0.0040941948054338175
Article 5,small,10,3386,0.0029533372711163615,0.6931471805599453,0.0020470974027169088
Article 5,states,10,3386,0.0029533372711163615,0.4054651081081644,0.0011974752159130667
Article 5,this,10,3386,0.0029533372711163615,0,0
Article 6,as,10,1056,0.00946969696969697,0,0
Article 6,by,10,1056,0.00946969696969697,0,0
Article 6,is,10,1056,0.00946969696969697,0,0
Article 7,with,10,1277,0.007830853563038372,0,0
Article 9,from,10,1656,0.006038647342995169,0,0
Article 9,manabe,10,1656,0.006038647342995169,2.4849066497880004,0.015005474938333336
Article 9,their,10,1656,0.006038647342995169,0.1823215567939546,0.0011009755845045566
Article 9,university,10,1656,0.006038647342995169,0.4054651081081644,0.002448460797754616
Article 10,private,9,731,0.012311901504787962,1.791759469228055,0.022059966105406968
Article 11,as,9,1460,0.0061643835616438354,0,0
Article 11,who,9,1460,0.0061643835616438354,0.1823215567939546,0.0011239000076339665
Article 12,at,9,2243,0.004012483281319661,0,0
Article 12,been,9,2243,0.004012483281319661,0.0870113769896297,3.491316954554914e-4
Article 12,do,9,2243,0.004012483281319661,0.1823215567939546,7.315621984599159e-4
Article 12,emissions,9,2243,0.004012483281319661,0.0870113769896297,3.491316954554914e-4
Article 12,now,9,2243,0.004012483281319661,0.0870113769896297,3.491316954554914e-4
Article 2,defense,9,1589,0.005663939584644431,1.791759469228055,0.010148417383922276
Article 2,new,9,1589,0.005663939584644431,0.1823215567939546,0.0010326582826592772
Article 2,secretary,9,1589,0.005663939584644431,1.3862943611198906,0.00785188750791631
Article 3,percent,9,1808,0.00497787610619469,0.4054651081081644,0.0020183550735472784
Article 4,been,9,1582,0.005689001264222503,0.0870113769896297,4.950078336957442e-4
Article 5,conference,9,3386,0.0026580035440047253,1.3862943611198906,0.0036847753248904357
Article 5,could,9,3386,0.0026580035440047253,0.4054651081081644,0.00107772769432176
Article 5,home,9,3386,0.0026580035440047253,1.3862943611198906,0.0036847753248904357
Article 5,made,9,3386,0.0026580035440047253,0.28768207245178085,7.646599681234576e-4
Article 5,no,9,3386,0.0026580035440047253,0.1823215567939546,4.846113441067901e-4
Article 5,than,9,3386,0.0026580035440047253,0.1823215567939546,4.846113441067901e-4
Article 5,there,9,3386,0.0026580035440047253,0.6931471805599453,0.0018423876624452178
Article 5,those,9,3386,0.0026580035440047253,0,0
Article 5,what,9,3386,0.0026580035440047253,0.1823215567939546,4.846113441067901e-4
Article 6,emissions,9,1056,0.008522727272727272,0.0870113769896297,7.415742357070712e-4
Article 6,new,9,1056,0.008522727272727272,0.1823215567939546,0.001553876904493931
Article 6,report,9,1056,0.008522727272727272,0.6931471805599453,0.005907504379772261
Article 6,would,9,1056,0.008522727272727272,0.1823215567939546,0.001553876904493931
Article 7,as,9,1277,0.007047768206734534,0,0
Article 7,when,9,1277,0.007047768206734534,0.5389965007326869,0.003798722401404998
Article 8,in,9,800,0.01125,0,0
Article 8,plan,9,800,0.01125,1.3862943611198906,0.015595811562598769
Article 8,that,9,800,0.01125,0,0
Article 9,at,9,1656,0.005434782608695652,0,0
Article 1,by,8,725,0.011034482758620689,0,0
Article 1,it,8,725,0.011034482758620689,0,0
Article 1,that,8,725,0.011034482758620689,0,0
Article 1,with,8,725,0.011034482758620689,0,0
Article 10,climate,8,731,0.01094391244870041,0,0
Article 10,countries,8,731,0.01094391244870041,0.5389965007326869,0.005898730514174412
Article 10,that,8,731,0.01094391244870041,0,0
Article 10,world,8,731,0.01094391244870041,0.1823215567939546,0.0019953111550637987
Article 11,are,8,1460,0.005479452054794521,0.0870113769896297,4.7677466843632714e-4
Article 11,how,8,1460,0.005479452054794521,0.0870113769896297,4.7677466843632714e-4
Article 11,people,8,1460,0.005479452054794521,0.5389965007326869,0.0029534054834667776
Article 11,you,8,1460,0.005479452054794521,0.6931471805599453,0.0037980667427942208
Article 12,change,8,2243,0.0035666518056174765,0,0
Article 12,panel,8,2243,0.0035666518056174765,1.791759469228055,0.006390582146154454
Article 12,say,8,2243,0.0035666518056174765,0.4054651081081644,0.0014461528599488697
Article 12,some,8,2243,0.0035666518056174765,0.28768207245178085,0.001026061783153922
Article 12,this,8,2243,0.0035666518056174765,0,0
Article 12,what,8,2243,0.0035666518056174765,0.1823215567939546,6.502775097421475e-4
Article 12,will,8,2243,0.0035666518056174765,0.0870113769896297,3.1033928484932574e-4
Article 12,world,8,2243,0.0035666518056174765,0.1823215567939546,6.502775097421475e-4
Article 2,department,8,1589,0.005034612964128383,2.4849066497880004,0.012510543233671494
Article 2,environmental,8,1589,0.005034612964128383,0.5389965007326869,0.002713638770208619
Article 2,have,8,1589,0.005034612964128383,0,0
Article 2,team,8,1589,0.005034612964128383,2.4849066497880004,0.012510543233671494
Article 3,an,8,1808,0.004424778761061947,0,0
Article 3,but,8,1808,0.004424778761061947,0.0870113769896297,3.850060928744677e-4
Article 3,change,8,1808,0.004424778761061947,0,0
Article 3,into,8,1808,0.004424778761061947,0.1823215567939546,8.067325521856398e-4
Article 3,manchin,8,1808,0.004424778761061947,2.4849066497880004,0.010995162167203542
Article 3,water,8,1808,0.004424778761061947,0.8754687373538999,0.003873755475017256
Article 4,at,8,1582,0.0050568900126422255,0,0
Article 4,their,8,1582,0.0050568900126422255,0.1823215567939546,9.219800596407312e-4
Article 4,this,8,1582,0.0050568900126422255,0,0
Article 5,an,8,3386,0.002362669816893089,0,0
Article 5,dorian,8,3386,0.002362669816893089,2.4849066497880004,0.005871013939251034
Article 5,his,8,3386,0.002362669816893089,0.4054651081081644,9.579801727304533e-4
Article 5,hurricane,8,3386,0.002362669816893089,1.0986122886681098,0.0025956580949039808
Article 5,into,8,3386,0.002362669816893089,0.1823215567939546,4.3076563920603565e-4
Article 5,now,8,3386,0.002362669816893089,0.0870113769896297,2.0557915413970396e-4
Article 5,one,8,3386,0.002362669816893089,0.28768207245178085,6.796977494430735e-4
Article 5,storm,8,3386,0.002362669816893089,1.3862943611198906,0.003275355844347054
Article 5,while,8,3386,0.002362669816893089,0.28768207245178085,6.796977494430735e-4
Article 6,are,8,1056,0.007575757575757576,0.0870113769896297,6.591770984062857e-4
Article 6,said,8,1056,0.007575757575757576,0.28768207245178085,0.0021794096397862186
Article 6,this,8,1056,0.007575757575757576,0,0
Article 7,but,8,1277,0.006264682850430697,0.0870113769896297,5.450986812192934e-4
Article 8,from,8,800,0.01,0,0
Article 9,change,8,1656,0.004830917874396135,0,0
Article 9,hasselmann,8,1656,0.004830917874396135,2.4849066497880004,0.012004379950666668
Article 9,have,8,1656,0.004830917874396135,0,0
Article 9,parisi,8,1656,0.004830917874396135,2.4849066497880004,0.012004379950666668
Article 9,will,8,1656,0.004830917874396135,0.0870113769896297,4.2034481637502266e-4
Article 1,for,7,725,0.009655172413793104,0,0
Article 1,more,7,725,0.009655172413793104,0,0
Article 1,on,7,725,0.009655172413793104,0,0
Article 10,can,7,731,0.009575923392612859,0.1823215567939546,0.0017458972606808237
Article 10,capital,7,731,0.009575923392612859,2.4849066497880004,0.02379527571616416
Article 10,emerging,7,731,0.009575923392612859,1.791759469228055,0.01715775141531653
Article 10,finance,7,731,0.009575923392612859,1.0986122886681098,0.010520227114468903
Article 10,investment,7,731,0.009575923392612859,1.791759469228055,0.01715775141531653
Article 11,found,7,1460,0.004794520547945206,1.0986122886681098,0.005267319192244362
Article 11,not,7,1460,0.004794520547945206,0,0
Article 11,our,7,1460,0.004794520547945206,0.28768207245178085,0.0013792976076455246
Article 11,was,7,1460,0.004794520547945206,0.28768207245178085,0.0013792976076455246
Article 12,already,7,2243,0.003120820329915292,0.4054651081081644,0.0012653837524552612
Article 12,century,7,2243,0.003120820329915292,1.3862943611198906,0.004326375625429886
Article 12,degree,7,2243,0.003120820329915292,1.0986122886681098,0.0034285715651702045
Article 12,many,7,2243,0.003120820329915292,0.28768207245178085,8.978040602596817e-4
Article 12,next,7,2243,0.003120820329915292,0.6931471805599453,0.002163187812714943
Article 12,time,7,2243,0.003120820329915292,0.4054651081081644,0.0012653837524552612
Article 12,which,7,2243,0.003120820329915292,0.28768207245178085,8.978040602596817e-4
Article 2,an,7,1589,0.004405286343612335,0,0
Article 2,financial,7,1589,0.004405286343612335,1.0986122886681098,0.004839701712194317
Article 2,rules,7,1589,0.004405286343612335,2.4849066497880004,0.010946725329462557
Article 2,will,7,1589,0.004405286343612335,0.0870113769896297,3.833100307913203e-4
Article 3,has,7,1808,0.0038716814159292035,0.0870113769896297,3.3688033126515925e-4
Article 3,last,7,1808,0.0038716814159292035,0.0870113769896297,3.3688033126515925e-4
Article 3,more,7,1808,0.0038716814159292035,0,0
Article 3,on,7,1808,0.0038716814159292035,0,0
Article 3,rain,7,1808,0.0038716814159292035,1.3862943611198906,0.0053672901149553285
Article 3,than,7,1808,0.0038716814159292035,0.1823215567939546,7.058909831624349e-4
Article 3,which,7,1808,0.0038716814159292035,0.28768207245178085,0.0011138133336075586
Article 4,but,7,1582,0.004424778761061947,0.0870113769896297,3.850060928744677e-4
Article 4,change,7,1582,0.004424778761061947,0,0
Article 4,has,7,1582,0.004424778761061947,0.0870113769896297,3.850060928744677e-4
Article 4,its,7,1582,0.004424778761061947,0.5389965007326869,0.0023849402687287032
Article 4,on,7,1582,0.004424778761061947,0,0
Article 4,they,7,1582,0.004424778761061947,0,0
Article 4,warming,7,1582,0.004424778761061947,0.0870113769896297,3.850060928744677e-4
Article 5,about,7,3386,0.002067336089781453,0.1823215567939546,3.769199343052812e-4
Article 5,adaptation,7,3386,0.002067336089781453,1.791759469228055,0.003704169014942819
Article 5,after,7,3386,0.002067336089781453,0.28768207245178085,5.947355307626893e-4
Article 5,agreement,7,3386,0.002067336089781453,0.8754687373538999,0.0018098881162071172
Article 5,bahamians,7,3386,0.002067336089781453,2.4849066497880004,0.005137137196844655
Article 5,can,7,3386,0.002067336089781453,0.1823215567939546,3.769199343052812e-4
Article 5,even,7,3386,0.002067336089781453,0.1823215567939546,3.769199343052812e-4
Article 5,house,7,3386,0.002067336089781453,1.3862943611198906,0.002865936363803672
Article 5,many,7,3386,0.002067336089781453,0.28768207245178085,5.947355307626893e-4
Article 5,most,7,3386,0.002067336089781453,0.1823215567939546,3.769199343052812e-4
Article 5,not,7,3386,0.002067336089781453,0,0
Article 5,or,7,3386,0.002067336089781453,0,0
Article 5,said,7,3386,0.002067336089781453,0.28768207245178085,5.947355307626893e-4
Article 5,still,7,3386,0.002067336089781453,0.4054651081081644,8.382326511391467e-4
Article 5,united,7,3386,0.002067336089781453,0.1823215567939546,3.769199343052812e-4
Article 6,agency,7,1056,0.006628787878787879,1.0986122886681098,0.007282467822610577
Article 6,carbon,7,1056,0.006628787878787879,0.1823215567939546,0.001208570925717502
Article 6,countries,7,1056,0.006628787878787879,0.5389965007326869,0.003572893470765917
Article 6,for,7,1056,0.006628787878787879,0,0
Article 6,has,7,1056,0.006628787878787879,0.0870113769896297,5.767799611054999e-4
Article 6,on,7,1056,0.006628787878787879,0,0
Article 7,an,7,1277,0.00548159749412686,0,0
Article 7,climate,7,1277,0.00548159749412686,0,0
Article 7,i,7,1277,0.00548159749412686,0.28768207245178085,0.0015769573274569035
Article 7,its,7,1277,0.00548159749412686,0.5389965007326869,0.0029545618677594425
Article 7,not,7,1277,0.00548159749412686,0,0
Article 7,which,7,1277,0.00548159749412686,0.28768207245178085,0.0015769573274569035
Article 8,bill,7,800,0.00875,1.791759469228055,0.015677895355745482
Article 8,council,7,800,0.00875,1.791759469228055,0.015677895355745482
Article 9,about,7,1656,0.004227053140096618,0.1823215567939546,7.706829091531897e-4
Article 9,announced,7,1656,0.004227053140096618,1.791759469228055,0.0075738624906982995
Article 9,has,7,1656,0.004227053140096618,0.0870113769896297,3.678017143281448e-4
Article 9,models,7,1656,0.004227053140096618,1.791759469228055,0.0075738624906982995
Article 9,our,7,1656,0.004227053140096618,0.28768207245178085,0.001216047407706803
Article 9,received,7,1656,0.004227053140096618,2.4849066497880004,0.010503832456833334
Article 9,systems,7,1656,0.004227053140096618,1.3862943611198906,0.005859939932270068
Article 9,this,7,1656,0.004227053140096618,0,0
Article 1,climate,6,725,0.008275862068965517,0,0
Article 1,report,6,725,0.008275862068965517,0.6931471805599453,0.005736390459806444
Article 1,will,6,725,0.008275862068965517,0.0870113769896297,7.200941543969355e-4
Article 10,have,6,731,0.008207934336525308,0,0
Article 10,investors,6,731,0.008207934336525308,2.4849066497880004,0.020395950613854994
Article 10,is,6,731,0.008207934336525308,0,0
Article 10,more,6,731,0.008207934336525308,0,0
Article 11,best,6,1460,0.00410958904109589,1.0986122886681098,0.004514845021923738
Article 11,but,6,1460,0.00410958904109589,0.0870113769896297,3.575810013272453e-4
Article 11,can,6,1460,0.00410958904109589,0.1823215567939546,7.492666717559777e-4
Article 11,from,6,1460,0.00410958904109589,0,0
Article 11,have,6,1460,0.00410958904109589,0,0
Article 11,it’s,6,1460,0.00410958904109589,0.6931471805599453,0.0028485500570956655
Article 11,likely,6,1460,0.00410958904109589,0.4054651081081644,0.0016662949648280727
Article 11,science,6,1460,0.00410958904109589,0.5389965007326869,0.002215054112600083
Article 11,they,6,1460,0.00410958904109589,0,0
Article 11,this,6,1460,0.00410958904109589,0,0
Article 12,how,6,2243,0.0026749888542131075,0.0870113769896297,2.327544636369943e-4
Article 12,might,6,2243,0.0026749888542131075,0.6931471805599453,0.001854160982327094
Article 12,natural,6,2243,0.0026749888542131075,0.5389965007326869,0.0014418096319198045
Article 12,no,6,2243,0.0026749888542131075,0.1823215567939546,4.877081323066106e-4
