"","articles","word","n","total","tf","idf","tf_idf"
"47","LATimes9","season",7,1279,0.0116279069767442,0.916290731874155,0.0106545433938855
"48","LATimes9","state's",7,1279,0.0116279069767442,1.6094379124341,0.0187143943306291
"49","LATimes9","winds",7,1279,0.0116279069767442,2.30258509299405,0.0267742452673726
"50","LATimes1","average",6,856,0.0144578313253012,0.916290731874155,0.0132475768463733
"51","LATimes1","extreme",6,856,0.0144578313253012,0.356674943938732,0.00515674617742746
"52","LATimes3","change",6,766,0.018018018018018,0,0
"53","LATimes4","climate",6,1068,0.0119760479041916,0,0
"54","LATimes4","people",6,1068,0.0119760479041916,0.693147180559945,0.00830116383904126
"55","LATimes4","popular",6,1068,0.0119760479041916,1.6094379124341,0.0192747055381329
"56","LATimes4","temperatures",6,1068,0.0119760479041916,0.510825623765991,0.00611767214091007
"57","LATimes5","gas",6,848,0.0129310344827586,1.20397280432594,0.0155686138490423
"58","LATimes5","major",6,848,0.0129310344827586,0.693147180559945,0.00896311009344757
"59","LATimes6","company",6,886,0.013953488372093,2.30258509299405,0.0321290943208472
"60","LATimes6","esg",6,886,0.013953488372093,2.30258509299405,0.0321290943208472
"61","LATimes8","extreme",6,1088,0.0104166666666667,0.356674943938732,0.0037153639993618
"62","LATimes8","low",6,1088,0.0104166666666667,0.916290731874155,0.00954469512368912
"63","LATimes8","reservoirs",6,1088,0.0104166666666667,1.20397280432594,0.0125413833783952
"64","LATimes8","west",6,1088,0.0104166666666667,0.916290731874155,0.00954469512368912
"65","LATimes9","climate",6,1279,0.00996677740863787,0,0
"66","LATimes9","northern",6,1279,0.00996677740863787,1.20397280432594,0.0119997289467701
"67","LATimes9","wildfires",6,1279,0.00996677740863787,0.693147180559945,0.0069084436600659
"68","LATimes9","wind",6,1279,0.00996677740863787,1.20397280432594,0.0119997289467701
"69","LATimes1","experts",5,856,0.0120481927710843,1.20397280432594,0.0145056964376619
"70","LATimes1","rain",5,856,0.0120481927710843,1.6094379124341,0.0193908182220976
"71","LATimes10","breaking",5,653,0.0148809523809524,2.30258509299405,0.0342646591219352
"72","LATimes10","degrees",5,653,0.0148809523809524,0.916290731874155,0.0136352787481273
"73","LATimes10","temperatures",5,653,0.0148809523809524,0.510825623765991,0.007601571782232
"74","LATimes2","global",5,777,0.0144508670520231,0.693147180559945,0.0100165777537564
"75","LATimes3","crisis",5,766,0.015015015015015,0.916290731874155,0.0137581190972095
"76","LATimes3","hope",5,766,0.015015015015015,1.20397280432594,0.0180776697346237
"77","LATimes4","change",5,1068,0.00998003992015968,0,0
"78","LATimes4","heat",5,1068,0.00998003992015968,0.693147180559945,0.00691763653253438
"79","LATimes4","season",5,1068,0.00998003992015968,0.916290731874155,0.0091446180825764
"80","LATimes4","study",5,1068,0.00998003992015968,1.6094379124341,0.0160622546151108
"81","LATimes4","winter",5,1068,0.00998003992015968,1.20397280432594,0.0120156966499594
"82","LATimes5","petroleum",5,848,0.0107758620689655,2.30258509299405,0.02481233936416
"83","LATimes5","threat",5,848,0.0107758620689655,0.916290731874155,0.00987382254174736
"84","LATimes5","u.s",5,848,0.0107758620689655,0.510825623765991,0.00550458646299559
"85","LATimes6","corporate",5,886,0.0116279069767442,2.30258509299405,0.0267742452673726
"86","LATimes6","shareholder",5,886,0.0116279069767442,2.30258509299405,0.0267742452673726
"87","LATimes6","votes",5,886,0.0116279069767442,2.30258509299405,0.0267742452673726
"88","LATimes7","president",5,651,0.0150602409638554,1.6094379124341,0.024238522777622
"89","LATimes7","reconciliation",5,651,0.0150602409638554,2.30258509299405,0.0346774863402718
"90","LATimes8","dry",5,1088,0.00868055555555556,1.20397280432594,0.0104511528153293
"91","LATimes8","lake",5,1088,0.00868055555555556,1.20397280432594,0.0104511528153293
"92","LATimes9","acres",5,1279,0.00830564784053156,1.20397280432594,0.00999977412230844
"93","LATimes9","dry",5,1279,0.00830564784053156,1.20397280432594,0.00999977412230844
"94","LATimes9","luck",5,1279,0.00830564784053156,2.30258509299405,0.0191244609052662
"95","LATimes9","southern",5,1279,0.00830564784053156,1.6094379124341,0.0133674245218779
"96","LATimes1","change",4,856,0.00963855421686747,0,0
"97","LATimes1","conditions",4,856,0.00963855421686747,0.916290731874155,0.00883171789758222
"98","LATimes1","dry",4,856,0.00963855421686747,1.20397280432594,0.0116045571501295
"99","LATimes1","lake",4,856,0.00963855421686747,1.20397280432594,0.0116045571501295
"100","LATimes1","low",4,856,0.00963855421686747,0.916290731874155,0.00883171789758222
"101","LATimes1","rainfall",4,856,0.00963855421686747,1.20397280432594,0.0116045571501295
"102","LATimes1","reported",4,856,0.00963855421686747,1.6094379124341,0.0155126545776781
"103","LATimes10","infrastructure",4,653,0.0119047619047619,1.6094379124341,0.019159975148025
"104","LATimes10","sunday",4,653,0.0119047619047619,2.30258509299405,0.0274117272975482
"105","LATimes10","wave",4,653,0.0119047619047619,0.693147180559945,0.00825175214952316
"106","LATimes3","generation",4,766,0.012012012012012,1.6094379124341,0.0193325875367459
"107","LATimes4","flickr",4,1068,0.00798403193612774,2.30258509299405,0.0183839129181161
"108","LATimes4","photos",4,1068,0.00798403193612774,2.30258509299405,0.0183839129181161
"109","LATimes5","2010",4,848,0.00862068965517241,2.30258509299405,0.019849871491328
"110","LATimes5","2020",4,848,0.00862068965517241,0.693147180559945,0.00597540672896505
"111","LATimes5","energy",4,848,0.00862068965517241,0.693147180559945,0.00597540672896505
"112","LATimes5","fuel",4,848,0.00862068965517241,0.916290731874155,0.00789905803339789
"113","LATimes5","reduce",4,848,0.00862068965517241,0.510825623765991,0.00440366917039647
"114","LATimes5","relative",4,848,0.00862068965517241,2.30258509299405,0.019849871491328
"115","LATimes5","technologies",4,848,0.00862068965517241,1.6094379124341,0.0138744647623629
"116","LATimes6","annual",4,886,0.00930232558139535,0.916290731874155,0.00852363471510842
"117","LATimes6","companies",4,886,0.00930232558139535,2.30258509299405,0.0214193962138981
"118","LATimes6","issues",4,886,0.00930232558139535,1.6094379124341,0.0149715154645033
"119","LATimes6","majority",4,886,0.00930232558139535,1.6094379124341,0.0149715154645033
"120","LATimes6","managements",4,886,0.00930232558139535,2.30258509299405,0.0214193962138981
"121","LATimes6","meeting",4,886,0.00930232558139535,1.6094379124341,0.0149715154645033
"122","LATimes6","oil",4,886,0.00930232558139535,1.6094379124341,0.0149715154645033
"123","LATimes6","report",4,886,0.00930232558139535,0.693147180559945,0.00644788074939484
"124","LATimes6","resolutions",4,886,0.00930232558139535,2.30258509299405,0.0214193962138981
"125","LATimes7","bill",4,651,0.0120481927710843,1.20397280432594,0.0145056964376619
"126","LATimes7","democrats",4,651,0.0120481927710843,1.6094379124341,0.0193908182220976
"127","LATimes7","energy",4,651,0.0120481927710843,0.693147180559945,0.00835117085011982
"128","LATimes7","trillion",4,651,0.0120481927710843,1.6094379124341,0.0193908182220976
"129","LATimes7","utilities",4,651,0.0120481927710843,2.30258509299405,0.0277419890722174
"130","LATimes8","fires",4,1088,0.00694444444444444,1.6094379124341,0.0111766521696813
"131","LATimes8","levels",4,1088,0.00694444444444444,1.20397280432594,0.00836092225226344
"132","LATimes8","moisture",4,1088,0.00694444444444444,1.6094379124341,0.0111766521696813
"133","LATimes8","soil",4,1088,0.00694444444444444,2.30258509299405,0.0159901742569031
"134","LATimes8","temperatures",4,1088,0.00694444444444444,0.510825623765991,0.0035474001650416
"135","LATimes9","burned",4,1279,0.00664451827242525,1.20397280432594,0.00799981929784675
"136","LATimes9","drought",4,1279,0.00664451827242525,0.693147180559945,0.0046056291067106
"137","LATimes9","national",4,1279,0.00664451827242525,0.510825623765991,0.00339419019113615
"138","LATimes9","officials",4,1279,0.00664451827242525,1.20397280432594,0.00799981929784675
"139","LATimes9","rain",4,1279,0.00664451827242525,1.6094379124341,0.0106939396175023
"140","LATimes9","record",4,1279,0.00664451827242525,0.693147180559945,0.0046056291067106
"141","LATimes9","strong",4,1279,0.00664451827242525,2.30258509299405,0.0152995687242129
"142","LATimes9","wildfire",4,1279,0.00664451827242525,1.20397280432594,0.00799981929784675
"143","LATimes9","williams",4,1279,0.00664451827242525,2.30258509299405,0.0152995687242129
"144","LATimes1","1976",3,856,0.0072289156626506,2.30258509299405,0.0166451934433305
"145","LATimes1","77",3,856,0.0072289156626506,2.30258509299405,0.0166451934433305
"146","LATimes1","california's",3,856,0.0072289156626506,1.20397280432594,0.00870341786259713
"147","LATimes1","effects",3,856,0.0072289156626506,0.510825623765991,0.00369271535252523
"148","LATimes1","regional",3,856,0.0072289156626506,1.6094379124341,0.0116344909332586
"149","LATimes1","southern",3,856,0.0072289156626506,1.6094379124341,0.0116344909332586
"150","LATimes1","start",3,856,0.0072289156626506,1.6094379124341,0.0116344909332586
"151","LATimes10","carbon",3,653,0.00892857142857143,0.916290731874155,0.00818116724887638
"152","LATimes10","effects",3,653,0.00892857142857143,0.510825623765991,0.0045609430693392
"153","LATimes10","energy",3,653,0.00892857142857143,0.693147180559945,0.00618881411214237
"154","LATimes10","extreme",3,653,0.00892857142857143,0.356674943938732,0.00318459771373868
"155","LATimes10","hit",3,653,0.00892857142857143,1.6094379124341,0.0143699813610188
"156","LATimes10","summer",3,653,0.00892857142857143,0.693147180559945,0.00618881411214237
"157","LATimes10","transit",3,653,0.00892857142857143,2.30258509299405,0.0205587954731611
"158","LATimes10","weather",3,653,0.00892857142857143,0.916290731874155,0.00818116724887638
"159","LATimes2","americans",3,777,0.00867052023121387,1.20397280432594,0.0104390705577393
"160","LATimes2","emissions",3,777,0.00867052023121387,0.693147180559945,0.00600994665225386
"161","LATimes2","energy",3,777,0.00867052023121387,0.693147180559945,0.00600994665225386
"162","LATimes2","poll",3,777,0.00867052023121387,2.30258509299405,0.0199646106328964
"163","LATimes2","warming",3,777,0.00867052023121387,0.356674943938732,0.00309255731738785
"164","LATimes2","warned",3,777,0.00867052023121387,2.30258509299405,0.0199646106328964
"165","LATimes3","act",3,766,0.00900900900900901,1.20397280432594,0.0108466018407742
"166","LATimes3","action",3,766,0.00900900900900901,0.916290731874155,0.00825487145832572
"167","LATimes3","catastrophe",3,766,0.00900900900900901,1.6094379124341,0.0144994406525595
"168","LATimes3","challenge",3,766,0.00900900900900901,1.6094379124341,0.0144994406525595
"169","LATimes3","humanity",3,766,0.00900900900900901,1.20397280432594,0.0108466018407742
"170","LATimes3","world",3,766,0.00900900900900901,0.510825623765991,0.00460203264654046
"171","LATimes4","drop",3,1068,0.00598802395209581,2.30258509299405,0.0137879346885871
"172","LATimes4","estimate",3,1068,0.00598802395209581,2.30258509299405,0.0137879346885871
"173","LATimes4","impact",3,1068,0.00598802395209581,1.6094379124341,0.00963735276906647
"174","LATimes4","month",3,1068,0.00598802395209581,0.916290731874155,0.00548677084954584
"175","LATimes4","parks",3,1068,0.00598802395209581,2.30258509299405,0.0137879346885871
"176","LATimes4","researchers",3,1068,0.00598802395209581,1.6094379124341,0.00963735276906647
"177","LATimes4","rising",3,1068,0.00598802395209581,0.916290731874155,0.00548677084954584
"178","LATimes4","utah",3,1068,0.00598802395209581,1.6094379124341,0.00963735276906647
"179","LATimes4","visitors",3,1068,0.00598802395209581,1.6094379124341,0.00963735276906647
"180","LATimes5","austin",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"181","LATimes5","bases",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"182","LATimes5","carbon",3,848,0.00646551724137931,0.916290731874155,0.00592429352504842
"183","LATimes5","existential",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"184","LATimes5","fossil",3,848,0.00646551724137931,0.693147180559945,0.00448155504672378
"185","LATimes5","global",3,848,0.00646551724137931,0.693147180559945,0.00448155504672378
"186","LATimes5","installations",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"187","LATimes5","national",3,848,0.00646551724137931,0.510825623765991,0.00330275187779735
"188","LATimes5","objectives",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"189","LATimes5","plan",3,848,0.00646551724137931,0.916290731874155,0.00592429352504842
"190","LATimes5","security",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"191","LATimes5","vehicles",3,848,0.00646551724137931,2.30258509299405,0.014887403618496
"192","LATimes5","warming",3,848,0.00646551724137931,0.356674943938732,0.00230608799960387
"193","LATimes5","world",3,848,0.00646551724137931,0.510825623765991,0.00330275187779735
"194","LATimes6","activities",3,886,0.00697674418604651,1.20397280432594,0.00839981026273909
"195","LATimes6","chevron",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"196","LATimes6","company's",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"197","LATimes6","disclosure",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"198","LATimes6","environmental",3,886,0.00697674418604651,1.20397280432594,0.00839981026273909
"199","LATimes6","expert",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"200","LATimes6","exxon",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"201","LATimes6","gas",3,886,0.00697674418604651,1.20397280432594,0.00839981026273909
"202","LATimes6","investor",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"203","LATimes6","minow",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"204","LATimes6","mobil",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"205","LATimes6","products",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"206","LATimes6","shareholders",3,886,0.00697674418604651,2.30258509299405,0.0160645471604236
"207","LATimes6","vote",3,886,0.00697674418604651,1.6094379124341,0.0112286365983774
"208","LATimes7","3.5",3,651,0.00903614457831325,2.30258509299405,0.0208064918041631
"209","LATimes7","biden",3,651,0.00903614457831325,1.20397280432594,0.0108792723282464
"210","LATimes7","manchin",3,651,0.00903614457831325,2.30258509299405,0.0208064918041631
"211","LATimes7","taxes",3,651,0.00903614457831325,2.30258509299405,0.0208064918041631
"212","LATimes7","tuesday",3,651,0.00903614457831325,2.30258509299405,0.0208064918041631
"213","LATimes8","agriculture",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"214","LATimes8","arizona",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"215","LATimes8","berggren",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"216","LATimes8","california",3,1088,0.00520833333333333,0.510825623765991,0.0026605501237812
"217","LATimes8","exceptional",3,1088,0.00520833333333333,1.6094379124341,0.00838248912726094
"218","LATimes8","flow",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"219","LATimes8","lead",3,1088,0.00520833333333333,1.20397280432594,0.00627069168919758
"220","LATimes8","mead",3,1088,0.00520833333333333,1.6094379124341,0.00838248912726094
"221","LATimes8","million",3,1088,0.00520833333333333,0.693147180559945,0.00361014156541638
"222","LATimes8","oregon",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"223","LATimes8","powell",3,1088,0.00520833333333333,2.30258509299405,0.0119926306926773
"224","LATimes8","snowpack",3,1088,0.00520833333333333,1.6094379124341,0.00838248912726094
"225","LATimes8","university",3,1088,0.00520833333333333,1.20397280432594,0.00627069168919758
"226","LATimes8","waves",3,1088,0.00520833333333333,1.6094379124341,0.00838248912726094
"227","LATimes8","western",3,1088,0.00520833333333333,0.916290731874155,0.00477234756184456
"228","LATimes9","2020",3,1279,0.00498338870431894,0.693147180559945,0.00345422183003295
"229","LATimes9","ana",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"230","LATimes9","caldor",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"231","LATimes9","change",3,1279,0.00498338870431894,0,0
"232","LATimes9","days",3,1279,0.00498338870431894,0.916290731874155,0.0045662328830938
"233","LATimes9","expected",3,1279,0.00498338870431894,1.6094379124341,0.00802045471312674
"234","LATimes9","firefighters",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"235","LATimes9","forecast",3,1279,0.00498338870431894,0.916290731874155,0.0045662328830938
"236","LATimes9","ignite",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"237","LATimes9","million",3,1279,0.00498338870431894,0.693147180559945,0.00345422183003295
"238","LATimes9","months",3,1279,0.00498338870431894,1.6094379124341,0.00802045471312674
"239","LATimes9","normal",3,1279,0.00498338870431894,0.916290731874155,0.0045662328830938
"240","LATimes9","outlook",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"241","LATimes9","porter",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"242","LATimes9","potential",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"243","LATimes9","precipitation",3,1279,0.00498338870431894,0.916290731874155,0.0045662328830938
"244","LATimes9","santa",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"245","LATimes9","seasonal",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"246","LATimes9","september",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"247","LATimes9","storms",3,1279,0.00498338870431894,1.20397280432594,0.00599986447338506
"248","LATimes9","tahoe",3,1279,0.00498338870431894,2.30258509299405,0.0114746765431597
"249","LATimes9","temperatures",3,1279,0.00498338870431894,0.510825623765991,0.00254564264335211
"250","LATimes9","term",3,1279,0.00498338870431894,0.916290731874155,0.0045662328830938
"251","LATimes9","time",3,1279,0.00498338870431894,0.105360515657826,0.00052505240361043
"252","LATimes9","u.s",3,1279,0.00498338870431894,0.510825623765991,0.00254564264335211
"253","LATimes9","vegetation",3,1279,0.00498338870431894,1.6094379124341,0.00802045471312674
"254","LATimes1","1",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"255","LATimes1","1977",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"256","LATimes1","2020",2,856,0.00481927710843374,0.693147180559945,0.00334046834004793
"257","LATimes1","2021",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"258","LATimes1","center",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"259","LATimes1","climatologist",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"260","LATimes1","climatologists",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"261","LATimes1","department",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"262","LATimes1","driest",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"263","LATimes1","half",2,856,0.00481927710843374,1.20397280432594,0.00580227857506475
"264","LATimes1","heat",2,856,0.00481927710843374,0.693147180559945,0.00334046834004793
"265","LATimes1","inches",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"266","LATimes1","jones",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"267","LATimes1","laber",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"268","LATimes1","largest",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"269","LATimes1","level",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"270","LATimes1","major",2,856,0.00481927710843374,0.693147180559945,0.00334046834004793
"271","LATimes1","mcevoy",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"272","LATimes1","mead",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"273","LATimes1","national",2,856,0.00481927710843374,0.510825623765991,0.00246181023501682
"274","LATimes1","noaa",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"275","LATimes1","potentially",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"276","LATimes1","record",2,856,0.00481927710843374,0.693147180559945,0.00334046834004793
"277","LATimes1","reservoir",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"278","LATimes1","reservoirs",2,856,0.00481927710843374,1.20397280432594,0.00580227857506475
"279","LATimes1","resources",2,856,0.00481927710843374,1.20397280432594,0.00580227857506475
"280","LATimes1","runoff",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"281","LATimes1","sierra",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"282","LATimes1","source",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"283","LATimes1","state's",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"284","LATimes1","study",2,856,0.00481927710843374,1.6094379124341,0.00775632728883904
"285","LATimes1","temperatures",2,856,0.00481927710843374,0.510825623765991,0.00246181023501682
"286","LATimes1","trends",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"287","LATimes1","united",2,856,0.00481927710843374,0.693147180559945,0.00334046834004793
"288","LATimes1","variability",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"289","LATimes1","weather",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"290","LATimes1","western",2,856,0.00481927710843374,0.916290731874155,0.00441585894879111
"291","LATimes1","wet",2,856,0.00481927710843374,2.30258509299405,0.011096795628887
"292","LATimes1","winter",2,856,0.00481927710843374,1.20397280432594,0.00580227857506475
"293","LATimes10","beginning",2,653,0.00595238095238095,0.916290731874155,0.00545411149925092
"294","LATimes10","bill",2,653,0.00595238095238095,1.20397280432594,0.00716650478765438
"295","LATimes10","clean",2,653,0.00595238095238095,1.20397280432594,0.00716650478765438
"296","LATimes10","closed",2,653,0.00595238095238095,1.20397280432594,0.00716650478765438
"297","LATimes10","conditions",2,653,0.00595238095238095,0.916290731874155,0.00545411149925092
"298","LATimes10","designed",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"299","LATimes10","driven",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"300","LATimes10","fuels",2,653,0.00595238095238095,1.20397280432594,0.00716650478765438
"301","LATimes10","funding",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"302","LATimes10","includes",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"303","LATimes10","moving",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"304","LATimes10","northwest",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"305","LATimes10","outages",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"306","LATimes10","pacific",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"307","LATimes10","pay",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"308","LATimes10","portland",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"309","LATimes10","recent",2,653,0.00595238095238095,0.916290731874155,0.00545411149925092
"310","LATimes10","safely",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"311","LATimes10","system",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"312","LATimes10","systems",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"313","LATimes10","transportation",2,653,0.00595238095238095,1.6094379124341,0.0095799875740125
"314","LATimes10","unprecedented",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"315","LATimes10","wildfires",2,653,0.00595238095238095,0.693147180559945,0.00412587607476158
"316","LATimes10","withstand",2,653,0.00595238095238095,2.30258509299405,0.0137058636487741
"317","LATimes10","worst",2,653,0.00595238095238095,0.693147180559945,0.00412587607476158
"318","LATimes2","avoid",2,777,0.00578034682080925,1.6094379124341,0.00930310932042832
"319","LATimes2","biden",2,777,0.00578034682080925,1.20397280432594,0.00695938037182622
"320","LATimes2","carbon",2,777,0.00578034682080925,0.916290731874155,0.00529647821892575
"321","LATimes2","century",2,777,0.00578034682080925,1.20397280432594,0.00695938037182622
"322","LATimes2","china",2,777,0.00578034682080925,1.6094379124341,0.00930310932042832
"323","LATimes2","coal",2,777,0.00578034682080925,1.6094379124341,0.00930310932042832
"324","LATimes2","continue",2,777,0.00578034682080925,0.693147180559945,0.00400663110150257
"325","LATimes2","decade",2,777,0.00578034682080925,2.30258509299405,0.0133097404219309
"326","LATimes2","decades",2,777,0.00578034682080925,0.916290731874155,0.00529647821892575
"327","LATimes2","degrees",2,777,0.00578034682080925,0.916290731874155,0.00529647821892575
"328","LATimes2","democrats",2,777,0.00578034682080925,1.6094379124341,0.00930310932042832
"329","LATimes2","denialism",2,777,0.00578034682080925,2.30258509299405,0.0133097404219309
"330","LATimes2","environmental",2,777,0.00578034682080925,1.20397280432594,0.00695938037182622
"331","LATimes2","glasgow",2,777,0.00578034682080925,2.30258509299405,0.0133097404219309
"332","LATimes2","hand",2,777,0.00578034682080925,1.20397280432594,0.00695938037182622
"333","LATimes2","hayhoe",2,777,0.00578034682080925,2.30258509299405,0.0133097404219309
"334","LATimes2","hope",2,777,0.00578034682080925,1.20397280432594,0.00695938037182622
